"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,6.52727272727273,1.80909090909091,5.02333005050505,7,2.3
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,6.72727272727273,1.34545454545455,4.1439297979798,9,1.3
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,6.70909090909091,0.681818181818182,4.79420151515152,8,2.5
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,6.96363636363636,1.70909090909091,4.58554267676768,10,0.2
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,6.90909090909091,1.55454545454545,4.51470606060606,10,0.5
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,6.38181818181818,-0.00909090909090908,3.83708611111111,8,2.6
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,5.8,0.990909090909091,5.55547474747475,7,24.1
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,7.06363636363636,2.04545454545455,6.29873712121212,6,2.6
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,6.10909090909091,0.736363636363636,3.8907446969697,8,5
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,6.58181818181818,-0.454545454545455,4.92163964646465,8,1.66
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,6.94545454545455,1.41818181818182,4.51857398989899,11,0
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,6.15454545454545,2.86363636363636,3.75070984848485,7,5.4
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,6.65454545454545,1.5,4.11138156565657,11,0
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,6.51818181818182,1.90909090909091,4.59097929292929,7,5.4
"Lindau","Bayern","Lindau, Bayern",47.550753,9.6926624,6.52727272727273,1.56363636363636,4.70981868686869,7,16.2
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg",49.4093582,8.694724,7.18181818181818,2.29090909090909,5.87486262626263,7,3.7
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern",54.4387302,12.6821366,6.83636363636364,2.18181818181818,4.2651505050505,11,0
"Erfurt","Thüringen","Erfurt, Thüringen",50.9777974,11.0287364,6.54545454545455,-0.781818181818182,5.3022648989899,8,1.6
"Juist","Niedersachsen","Juist, Niedersachsen",53.6784483,6.9956079,6.12727272727273,3.21818181818182,3.74549217171717,7,5.4
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen",53.4999753,7.0906967,6.20909090909091,2.80909090909091,3.18740328282828,7,5.9
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein",54.3717445,10.9809235,6.98181818181818,2.71818181818182,4.48767752525252,8,1.4
"Füssen","Bayern","Füssen, Bayern",47.5675998,10.6993217,5.48181818181818,-0.281818181818182,4.63799393939394,7,12.4
"Bremen","Bremen","Bremen",53.0758196,8.8071646,6.50909090909091,0.536363636363636,4.68398939393939,9,5.3
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein",54.3227085,10.135555,7.10909090909091,2.05454545454545,4.74634646464646,9,0.9
"Bamberg","Bayern","Bamberg, Bayern",49.8916044,10.8868478,7.14545454545455,1.31818181818182,6.21580656565657,7,2.8
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,6.40909090909091,0.963636363636364,5.19029823232323,6,13.5
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz",50.1483916,7.1663195,6.56363636363636,1.9,3.87033737373737,8,5.5
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz",49.7596208,6.6441878,6.65454545454545,2.36363636363636,4.49710353535353,7,6.4
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern",54.3789509,12.419192,6.94545454545455,2.86363636363636,4.28593611111111,11,0
"Nürnberg","Bayern","Nürnberg, Bayern",49.453872,11.077298,6.7,1.02727272727273,6.19342449494949,7,3.5
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt",51.8344172,10.7862526,5.83636363636364,-0.0181818181818182,4.79993207070707,6,7.36
"Bremerhaven","Bremen","Bremerhaven",53.5505392,8.5851945,6.47272727272727,2.02727272727273,4.72062095959596,8,6.1
"Görlitz","Sachsen","Görlitz, Sachsen",51.1532076746077,14.9869867830968,5.56363636363636,-2.13636363636364,4.64930555555556,6,4.1
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern",54.076647,13.9089471,6.89090909090909,1.40909090909091,4.34898939393939,10,0.4
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg",47.6955538,9.2719656,6.98181818181818,1,5.71072449494949,7,9.3
"Weimar","Thüringen","Weimar, Thüringen",50.9793301,11.3297921,6.70909090909091,-0.781818181818182,5.31528838383838,8,2.9
"Würzburg","Bayern","Würzburg, Bayern",49.7933506809822,9.93146899481068,7.29090909090909,1.52727272727273,6.23485404040404,8,1.6
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern",53.6288297,11.4148038,6.90909090909091,0.427272727272727,4.8915101010101,10,0.2
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein",54.9064856,8.3071734,7.09090909090909,4.54545454545455,4.08397828282828,8,0.3
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen",53.6916344,7.8028095,6.83636363636364,3.61818181818182,4.86175909090909,6,5.7
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern",54.2552653,12.2517155,6.92727272727273,2.05454545454545,4.41953232323232,9,1.3
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern",53.940567335526,14.1870203187083,6.63636363636364,0.963636363636364,4.27189570707071,10,0.3
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern",47.6054955,12.9846526,5.8,2.04545454545455,6.32666565656566,5,8.9
"Bad Schandau","Sachsen","Bad Schandau, Sachsen",50.918091,14.1534018,5.85454545454545,-0.881818181818182,4.16618737373737,6,5.86
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen",53.1801364574887,8.00840837233071,6.76363636363636,1.39090909090909,4.83229419191919,8,4
"Regensburg","Bayern","Regensburg, Bayern",49.0195333,12.0974869,6.5,0.6,6.14574393939394,6,3.6
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg",47.9001945340631,8.15217052598511,6.06363636363636,0.309090909090909,6.6746154040404,7,10.4
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz",49.9157398,7.0708181,6.67272727272727,2.49090909090909,4.34364419191919,6,7
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen",53.5278793,8.106301,6.74545454545455,2.51818181818182,4.68066843434343,8,6.4
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein",54.4854137,9.0537941,7.12727272727273,3.13636363636364,4.82079090909091,8,1.6
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen",51.5142273,7.4652789,6.07272727272727,0.827272727272727,4.66836363636364,7,4.2
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen",53.6992698,7.7035695,6.89090909090909,3.38181818181818,4.8328845959596,8,6.5
"Kassel","Hessen","Kassel, Hessen",51.3157833,9.4978479,6.56363636363636,0.418181818181818,4.73189116161616,8,3.2
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg",47.6500279,9.4800858,6.76363636363636,1.05454545454545,5.4432446969697,7,9.3
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz",49.9995205,8.2736253,7.43636363636364,2.4,5.98277676767677,8,0.7
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein",54.1820608,7.8876314,6.70909090909091,5.89090909090909,4.86560227272727,8,5.1
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg",49.4892913,8.4673098,7.32727272727273,2.35454545454545,6.40227727272727,7,1.7
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg",47.7664456,9.1605106,7.30909090909091,1.11818181818182,5.95466691919192,8,7.9
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern",53.9690358,14.1391435,6.63636363636364,0.990909090909091,4.29827904040404,10,0.3
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen",53.6742688,7.574467,6.09090909090909,2.68181818181818,3.53019217171717,7,9.4
"Bonn","Nordrhein-Westfalen","Bonn, Nordrhein-Westfalen",50.7352621,7.1024635,6.32727272727273,1.86363636363636,4.59990176767677,9,2.1
"Karlsruhe","Baden-Württemberg","Karlsruhe, Baden-Württemberg",49.0068705,8.4034195,7.09090909090909,2.05454545454545,5.54090101010101,6,3.5
"Aachen","Nordrhein-Westfalen","Aachen, Nordrhein-Westfalen",50.776351,6.083862,6.09090909090909,1.01818181818182,4.01698207070707,7,3
"Passau","Bayern","Passau, Bayern",48.5748229,13.4609744,6.46363636363636,1.12727272727273,5.61878232323232,6,6.7
"Flensburg","Schleswig-Holstein","Flensburg, Schleswig-Holstein",54.7833021,9.4333264,7.10909090909091,2.12727272727273,4.92184166666667,8,1.4
"Wiesbaden","Hessen","Wiesbaden, Hessen",50.0820384,8.2416556,7.34545454545455,2.29090909090909,5.72937828282828,7,2.4
"Quedlinburg","Sachsen-Anhalt","Quedlinburg, Sachsen-Anhalt",51.7855428,11.1519933,6.43636363636364,-0.272727272727273,4.38006111111111,8,2.9
"Magdeburg","Sachsen-Anhalt","Magdeburg, Sachsen-Anhalt",52.1315889,11.6399609,6.6,-0.972727272727273,4.83168257575758,9,2.3
"Bad Reichenhall","Bayern","Bad Reichenhall, Bayern",47.7222676,12.8760923,5.83636363636364,0.836363636363636,6.12269646464646,5,16
"Goslar","Niedersachsen","Goslar, Niedersachsen",51.9059936,10.4266284,6.07272727272727,-0.263636363636364,4.21412247474747,6,7.1
"Prerow","Mecklenburg-Vorpommern","Prerow, Mecklenburg-Vorpommern",54.445906,12.5660206,6.83636363636364,2.1,4.2505547979798,11,0
"Baden-Baden","Baden-Württemberg","Baden-Baden, Baden-Württemberg",48.7610716,8.239959,6.8,2.25454545454545,5.5476345959596,5,8.4
"Augsburg","Bayern","Augsburg, Bayern",48.3690341,10.8979522,6.03636363636364,-0.0272727272727273,4.47175707070707,6,7.8
