"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,7.46666666666667,10.9666666666667,3.67442685185185,2,0.4
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,7.33333333333333,12.0666666666667,4.0492,2,1.6
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,8.53333333333333,14.6333333333333,7.68797037037037,3,0
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,8.26666666666667,12.3666666666667,7.40904444444444,3,0
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,7.4,11.8333333333333,4.13076018518518,2,0.8
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,7.2,11.3333333333333,3.64256018518519,2,1.2
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,6.93333333333333,12.9333333333333,5.01044722222222,1,2.5
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,8.46666666666667,12.1333333333333,7.11484814814815,3,0
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,7.46666666666667,12.2333333333333,4.27151111111111,2,1.2
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,8.8,16.5666666666667,7.56534722222222,3,0
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,7.53333333333333,12.3,4.64716203703704,2,1.3
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern",53.5156249,12.6850606,7.73333333333333,12.1666666666667,4.67299444444444,3,0
"Berchtesgaden","Bayern","Berchtesgaden, Bayern",47.6330221,13.0020051,8.6,14,7.61616666666667,3,0
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern",53.9583117845254,14.1556338711397,7.73333333333333,10.9,4.46994907407407,2,0.3
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen",51.2254018,6.7763137,8.2,16.2,7.4860037037037,3,0
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern",54.0886707,12.1400211,7.53333333333333,11.7333333333333,4.6085787037037,2,1.3
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen",53.248706,10.407855,7.86666666666667,13.7,4.69587777777778,3,0
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein",54.026634,10.7559481,7.46666666666667,12.3666666666667,4.42578796296296,2,1.1
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein",53.9563395480557,10.8660828563105,7.4,12.1666666666667,4.21812407407407,2,1
"Hannover","Niedersachsen","Hannover, Niedersachsen",52.3744779,9.7385532,8.13333333333333,14.8333333333333,6.15616481481482,3,0
"Oberstdorf","Bayern","Oberstdorf, Bayern",47.4104347,10.2774409,9,18.1666666666667,8.21128333333333,3,0
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg",48.7784485,9.1800132,8.73333333333333,15.7666666666667,7.82486111111111,3,0
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen",51.9625101,7.6251879,8.13333333333333,16.5333333333333,6.71761851851852,3,0
"Potsdam","Brandenburg","Potsdam, Brandenburg",52.4009309,13.0591397,8.33333333333333,14.2,6.95924814814815,3,0
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern",53.8909832,11.4647932,7.53333333333333,12.1333333333333,4.55003703703704,2,1.2
"Norddeich","Niedersachsen","Norddeich, Niedersachsen",53.6209520645092,7.16051439568982,7.2,14,4.96086944444444,2,0.6
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern",54.3096314,13.0820846,7.4,11.2,3.8393037037037,2,0.7
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz",50.3533278,7.5943951,8.4,17.7666666666667,7.76758425925926,3,0
"Lindau","Bayern","Lindau, Bayern",47.550753,9.6926624,8.6,12.6666666666667,8.20085555555556,3,0
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg",49.4093582,8.694724,8.4,12.9333333333333,7.98958425925926,3,0
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern",54.4387302,12.6821366,7.4,11.6333333333333,4.0916037037037,2,0.5
"Erfurt","Thüringen","Erfurt, Thüringen",50.9777974,11.0287364,8.4,15.4333333333333,7.32093981481481,3,0
"Juist","Niedersachsen","Juist, Niedersachsen",53.6784483,6.9956079,7.13333333333333,12.7666666666667,5.06300092592593,2,0.7
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen",53.4999753,7.0906967,7.2,14.1333333333333,4.82221018518519,2,1.3
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein",54.3717445,10.9809235,7.46666666666667,12.1666666666667,3.42993796296296,2,0.3
"Füssen","Bayern","Füssen, Bayern",47.5675998,10.6993217,8.93333333333333,16.7333333333333,8.17633981481482,3,0
"Bremen","Bremen","Bremen",53.0758196,8.8071646,7.66666666666667,13.7666666666667,4.52046018518519,2,0.2
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein",54.3227085,10.135555,7.46666666666667,12.0666666666667,3.72474259259259,2,0.6
"Bamberg","Bayern","Bamberg, Bayern",49.8916044,10.8868478,8.26666666666667,11.3666666666667,7.56208611111111,3,0
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg",47.9960901,7.8494005,8.86666666666667,17.1,8.15148703703704,3,0
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz",50.1483916,7.1663195,8.4,17.7666666666667,7.83110092592593,3,0
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz",49.7596208,6.6441878,8.26666666666667,17.2666666666667,7.9092537037037,2,0.1
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern",54.3789509,12.419192,7.53333333333333,11.2333333333333,4.29508240740741,2,0.4
"Nürnberg","Bayern","Nürnberg, Bayern",49.453872,11.077298,8.4,12.1666666666667,7.37613148148148,3,0
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt",51.8344172,10.7862526,8.4,14.8333333333333,6.99656018518519,3,0
"Bremerhaven","Bremen","Bremerhaven",53.5505392,8.5851945,7.4,12.3,4.37019814814815,2,1
"Görlitz","Sachsen","Görlitz, Sachsen",51.1532076746077,14.9869867830968,8.2,9.26666666666667,7.67258703703704,3,0
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern",54.076647,13.9089471,7.46666666666667,11.0333333333333,4.09117222222222,2,1.2
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg",47.6955538,9.2719656,8.4,11.9333333333333,7.03316666666667,3,0
"Weimar","Thüringen","Weimar, Thüringen",50.9793301,11.3297921,8.46666666666667,15.7333333333333,7.32740185185185,3,0
"Würzburg","Bayern","Würzburg, Bayern",49.7933506809822,9.93146899481068,8.4,12.6,7.7943537037037,3,0
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern",53.6288297,11.4148038,7.66666666666667,12.1333333333333,4.68373888888889,2,0.3
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein",54.9064856,8.3071734,6.13333333333333,12.2333333333333,1.03128796296296,2,2.8
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen",53.6916344,7.8028095,7.26666666666667,12.3666666666667,3.19373333333333,2,1.2
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern",54.2552653,12.2517155,7.53333333333333,11.8666666666667,4.63096759259259,2,1.3
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern",53.940567335526,14.1870203187083,7.73333333333333,10.9,4.46994907407407,2,0.3
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern",47.6054955,12.9846526,8.6,13.9666666666667,7.61616666666667,3,0
"Bad Schandau","Sachsen","Bad Schandau, Sachsen",50.918091,14.1534018,8.33333333333333,12.4333333333333,7.67764166666667,3,0
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen",53.1801364574887,8.00840837233071,7.66666666666667,13.4333333333333,4.88833148148148,2,0.4
"Regensburg","Bayern","Regensburg, Bayern",49.0195333,12.0974869,8.26666666666667,9.3,7.02689259259259,3,0
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg",47.9001945340631,8.15217052598511,8.86666666666667,16.6666666666667,8.23752962962963,3,0
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz",49.9157398,7.0708181,8.4,17.3666666666667,7.87456851851852,3,0
